#{"t_start": 1743534336.418504, "env_id": "highway-fast-v0"}
r,l,t
13.516535,19,0.590078
16.083434,22,0.833648
14.745378,21,1.063901
3.785334,6,1.132589
11.719017,17,1.324983
10.017215,12,1.462028
5.431878,8,1.554142
7.996865,10,1.667659
4.466429,6,1.737516
10.098449,14,1.89531
11.079481,15,2.06404
3.000375,4,2.111602
19.195492,27,2.41737
13.54493,19,2.627644
4.446339,6,2.716669
2.749108,4,2.772427
10.078888,12,2.92578
9.96636,14,3.107316
13.265112,16,3.306023
12.113158,14,3.490215
3.046492,4,3.546343
10.03119,13,3.711109
14.312168,16,3.910448
4.446021,6,3.98985
4.717624,6,4.075025
5.046452,6,4.160026
6.782091,8,4.270695
3.399377,5,4.341814
2.599378,4,4.400639
19.285491,27,4.734378
12.279161,15,4.931262
2.918326,4,4.988627
1.6,3,5.037032
8.117558,11,5.186785
4.364843,6,5.269671
10.113417,12,5.434767
7.412018,9,5.559047
6.01265,7,5.653074
8.913112,10,5.781353
18.518478,23,6.069591
8.379146,10,6.203145
7.648214,11,6.341593
2.246029,3,6.381074
5.046446,6,6.459974
8.180129,10,6.598275
10.646451,14,6.777994
24.252788,30,7.168452
8.745248,11,7.309605
1.846796,3,7.352433
7.179157,9,7.468367
7.412028,9,7.585662
21.578576,28,7.952832
10.845973,12,8.124219
3.431424,5,8.190795
9.246452,11,8.346079
6.486431,8,8.450925
4.313113,5,8.521146
10.012649,11,8.669709
3.533333,5,8.734779
4.832711,7,8.824414
11.332711,14,9.004617
5.579779,7,9.098756
2.779825,4,9.152381
18.78523,25,9.465196
5.113112,6,9.548139
23.133333,30,9.934085
13.345516,16,10.142616
3.986445,5,10.207045
11.779157,13,10.378507
3.112647,4,10.434063
10.246445,12,10.590955
3.597343,5,10.665834
7.686443,11,10.81741
15.064004,17,11.031163
10.113113,12,11.183613
6.496054,8,11.284928
8.73418,11,11.43358
3.713118,5,11.50451
18.199027,23,11.820236
4.532711,6,11.899835
22.785599,30,12.276716
22.785654,30,12.674671
2.913158,4,12.727731
9.485975,11,12.869899
